,origin,destination,Origin_city,Destination_city,Fly_date,year,month,name_x,origin_latitude,origin_longitude,name_y,destination_latitude,destination_longitude
1950234,STL,TPA,"St. Louis, MO","Tampa, FL",2008-03-01,2008,3,St Louis Lambert International Airport,38.748697,-90.370003,Tampa International Airport,27.975500106811523,-82.533203125
1470815,PNS,IAH,"Pensacola, FL","Houston, TX",1991-08-01,1991,8,Pensacola International Airport,30.4734,-87.1866,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438
2518953,IAH,SAN,"Houston, TX","San Diego, CA",2005-10-01,2005,10,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,San Diego International Airport,32.7336006165,-117.190002441
2952786,BUF,BWI,"Buffalo, NY","Baltimore, MD",2007-11-01,2007,11,Buffalo Niagara International Airport,42.94049835,-78.73220062,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297
1226437,AZO,MSP,"Kalamazoo, MI","Minneapolis, MN",1991-06-01,1991,6,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802
1871877,STL,CLE,"St. Louis, MO","Cleveland, OH",1992-09-01,1992,9,St Louis Lambert International Airport,38.748697,-90.370003,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099
809354,MSN,DTW,"Madison, WI","Detroit, MI",1993-06-01,1993,6,Dane County Regional Truax Field,43.1399,-89.337502,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203
2017754,PIT,PHL,"Pittsburgh, PA","Philadelphia, PA",1994-11-01,1994,11,Pittsburgh International Airport,40.49150085,-80.23290253,Philadelphia International Airport,39.87189865112305,-75.24109649658203
3429326,CLT,ROA,"Charlotte, NC","Roanoke, VA",2002-12-01,2002,12,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403
2975804,DTW,MCO,"Detroit, MI","Orlando, FL",1996-06-01,1996,6,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,Orlando International Airport,28.429399490356445,-81.30899810791016
