origin,destination,count,color
MSY_63,SHV_64,1553,red
MSY_64,SHV_65,1363,red
MSY_65,SHV_66,1413,red
MSY_66,SHV_67,1340,red
MSY_67,SHV_68,2096,red
MSY_68,SHV_69,2110,red
MSY_69,SHV_70,1962,red
MSY_70,SHV_71,2067,red
MSY_71,SHV_72,2050,red
MSY_72,SHV_73,1845,red
MSY_73,SHV_74,1561,red
MSY_74,SHV_75,1470,red
MSY_75,SHV_76,1571,red
MSY_76,SHV_77,1595,red
MSY_77,SHV_78,1650,red
MSY_78,SHV_79,1589,red
MSY_79,SHV_80,1456,red
MSY_80,SHV_81,1629,red
MSY_81,SHV_82,1613,red
MSY_82,SHV_83,1838,red
MSY_83,SHV_84,1385,red
MSY_84,SHV_85,1546,red
MSY_85,SHV_86,1326,red
MSY_86,SHV_87,1322,red
MSY_87,SHV_88,1787,red
MSY_88,SHV_89,1473,red
MSY_89,SHV_90,1474,red
MSY_90,SHV_91,1404,red
MSY_96,SHV_97,129,red
MSY_111,SHV_112,57,red
MSY_116,SHV_117,154,red
BTR_106,AEX_107,30,red
BTR_110,AEX_111,17,red
BTR_116,AEX_117,32,red
BTR_120,AEX_121,19,red
LFT_81,AEX_82,9,red
LFT_87,AEX_88,19,red
LFT_106,AEX_107,15,red
LFT_114,AEX_115,21,red
LFT_120,AEX_121,18,red
MLU_80,AEX_81,17,red
MLU_81,AEX_82,33,red
MLU_82,AEX_83,13,red
MLU_84,AEX_85,14,red
MLU_89,AEX_90,15,red
MLU_90,AEX_91,18,red
MLU_97,AEX_98,7,red
MLU_99,AEX_100,12,red
MLU_119,AEX_120,16,red
SHV_88,AEX_89,10,red
SHV_96,AEX_97,27,red
SHV_103,AEX_104,28,red
SHV_108,AEX_109,26,red
SHV_114,AEX_115,31,red
SHV_117,AEX_118,13,red
SHV_119,AEX_120,9,red
SHV_120,AEX_121,6,red
BTR_1,MSY_2,645,red
BTR_2,MSY_3,663,red
BTR_3,MSY_4,354,red
BTR_4,MSY_5,417,red
BTR_5,MSY_6,463,red
BTR_6,MSY_7,531,red
BTR_7,MSY_8,655,red
BTR_8,MSY_9,668,red
BTR_9,MSY_10,637,red
BTR_10,MSY_11,98,red
BTR_13,MSY_14,146,red
BTR_14,MSY_15,144,red
BTR_18,MSY_19,486,red
BTR_19,MSY_20,463,red
BTR_20,MSY_21,328,red
BTR_21,MSY_22,240,red
BTR_22,MSY_23,14,red
BTR_23,MSY_24,5,red
BTR_24,MSY_25,68,red
BTR_27,MSY_28,158,red
BTR_28,MSY_29,137,red
BTR_30,MSY_31,379,red
BTR_32,MSY_33,143,red
BTR_36,MSY_37,53,red
BTR_37,MSY_38,51,red
BTR_38,MSY_39,52,red
BTR_39,MSY_40,24,red
BTR_42,MSY_43,182,red
BTR_43,MSY_44,187,red
BTR_54,MSY_55,244,red
BTR_55,MSY_56,45,red
BTR_56,MSY_57,223,red
BTR_62,MSY_63,147,red
BTR_63,MSY_64,98,red
BTR_65,MSY_66,25,red
BTR_66,MSY_67,63,red
BTR_67,MSY_68,401,red
BTR_68,MSY_69,803,red
BTR_69,MSY_70,358,red
BTR_70,MSY_71,431,red
BTR_71,MSY_72,489,red
BTR_72,MSY_73,689,red
BTR_73,MSY_74,392,red
BTR_74,MSY_75,327,red
BTR_75,MSY_76,367,red
BTR_76,MSY_77,399,red
BTR_77,MSY_78,444,red
BTR_78,MSY_79,844,red
BTR_79,MSY_80,1024,red
BTR_80,MSY_81,569,red
BTR_81,MSY_82,295,red
BTR_82,MSY_83,326,red
BTR_83,MSY_84,449,red
BTR_84,MSY_85,418,red
BTR_85,MSY_86,283,red
BTR_86,MSY_87,593,red
BTR_87,MSY_88,319,red
BTR_88,MSY_89,639,red
BTR_89,MSY_90,918,red
BTR_90,MSY_91,658,red
BTR_92,MSY_93,146,red
BTR_93,MSY_94,72,red
BTR_102,MSY_103,86,red
BTR_103,MSY_104,462,red
BTR_104,MSY_105,361,red
BTR_108,MSY_109,137,red
BTR_109,MSY_110,260,red
BTR_111,MSY_112,135,red
BTR_113,MSY_114,6,red
BTR_114,MSY_115,86,red
BTR_116,MSY_117,242,red
BTR_117,MSY_118,183,red
BTR_118,MSY_119,76,red
BTR_119,MSY_120,73,red
COS_12,MSY_13,111,blue
ESF_65,MSY_66,17,red
LCH_13,MSY_14,112,red
LCH_30,MSY_31,83,red
LCH_117,MSY_118,115,red
LFT_2,MSY_3,11,red
LFT_13,MSY_14,130,red
LFT_15,MSY_16,30,red
LFT_16,MSY_17,156,red
LFT_29,MSY_30,92,red
LFT_30,MSY_31,66,red
LFT_36,MSY_37,146,red
LFT_61,MSY_62,9,red
LFT_63,MSY_64,41,red
LFT_68,MSY_69,42,red
LFT_80,MSY_81,78,red
LFT_88,MSY_89,53,red
LFT_109,MSY_110,269,red
LFT_116,MSY_117,80,red
MLU_62,MSY_63,6,red
MLU_69,MSY_70,4,red
MLU_83,MSY_84,14,red
MLU_84,MSY_85,4,red
MLU_85,MSY_86,8,red
MLU_87,MSY_88,11,red
MLU_88,MSY_89,8,red
MLU_89,MSY_90,10,red
SHV_1,MSY_2,76,red
SHV_3,MSY_4,52,red
SHV_12,MSY_13,93,red
SHV_13,MSY_14,139,red
SHV_15,MSY_16,157,red
SHV_16,MSY_17,65,red
SHV_25,MSY_26,14,red
SHV_30,MSY_31,105,red
SHV_35,MSY_36,78,red
SHV_55,MSY_56,54,red
SHV_61,MSY_62,1359,red
SHV_62,MSY_63,1461,red
SHV_63,MSY_64,1707,red
SHV_64,MSY_65,1384,red
SHV_65,MSY_66,1422,red
SHV_66,MSY_67,1285,red
SHV_67,MSY_68,1982,red
SHV_68,MSY_69,2076,red
SHV_69,MSY_70,1991,red
SHV_70,MSY_71,2053,red
SHV_71,MSY_72,1991,red
SHV_72,MSY_73,1767,red
SHV_73,MSY_74,1556,red
SHV_74,MSY_75,1510,red
SHV_75,MSY_76,1664,red
SHV_76,MSY_77,1618,red
SHV_77,MSY_78,1708,red
SHV_78,MSY_79,1571,red
SHV_79,MSY_80,1529,red
SHV_80,MSY_81,1690,red
SHV_81,MSY_82,1531,red
SHV_82,MSY_83,1787,red
SHV_83,MSY_84,1425,red
SHV_84,MSY_85,1540,red
SHV_85,MSY_86,1574,red
SHV_86,MSY_87,1433,red
SHV_87,MSY_88,1476,red
